2026-08-21 21:06:50 -0500	origin/codex/visits	9c9ef0df48ed5a45b2a17a136a94c8cdb7cdf048			Fix stale visit presence rail
2026-08-21 21:06:50 -0500	codex/visits	9c9ef0df48ed5a45b2a17a136a94c8cdb7cdf048	origin/codex/visits		Fix stale visit presence rail
2026-08-21 21:06:50 -0500	codex/v1-beta-consolidation	9c9ef0df48ed5a45b2a17a136a94c8cdb7cdf048			Fix stale visit presence rail
2026-08-21 19:25:47 -0500	claude/visits-followups	ca2c297c72a10a30c8dccf5e5ec3d32f3dffd2a1	origin/codex/visits	[behind 2]	Record what the visit review found, in the doc we both read
2026-08-21 08:48:40 -0500	origin/codex/artifact-production-candidate	7befcca7a36a0b0dd86f56a2013def12634b0e56			Record blocked Artifact Canvas native gate
2026-08-21 08:48:40 -0500	codex/artifact-production-candidate	7befcca7a36a0b0dd86f56a2013def12634b0e56	origin/codex/artifact-production-candidate		Record blocked Artifact Canvas native gate
2026-08-21 07:42:53 -0500	origin/agent/typography	eb4e81543e38bc79a6e8e1006c82dc4b00a0298e			Prove the Paper wiring the Appearance picker depends on
2026-08-21 07:42:53 -0500	agent/typography	eb4e81543e38bc79a6e8e1006c82dc4b00a0298e	origin/agent/typography		Prove the Paper wiring the Appearance picker depends on
2026-08-21 07:37:24 -0500	codex/artifact-runtime-b	351df89bc3f8fc3866a94dadd62beb990c3a4d60			test: add native artifact containment acceptance
2026-08-21 07:34:15 -0500	codex/artifact-ui-production	c79ab4abf2b7bbad938e2e15ec66417ee42c4ca4			feat(desktop): ship artifact library and canvas
2026-08-21 07:26:49 -0500	codex/artifact-finish-native	37dcbf4f7fc45465106cf4c798657ae6003d133d			fix: retain platform-compatible artifact database opens
2026-08-21 07:08:48 -0500	origin/codex/luca-capability-parity	4c13963ada358045c01d57c142475ba12bd79836			fix(luca): wait for conversation subscription
2026-08-21 07:08:48 -0500	codex/luca-capability-parity	4c13963ada358045c01d57c142475ba12bd79836	origin/codex/luca-capability-parity		fix(luca): wait for conversation subscription
